Best 1. guess sums: 71017 tarne, 72729 raine, 74391 trane, 75473 lernt, 75513 raete

Beispiel für guess 'tarne':
⬛⬛⬛⬛⬛: 48 mögliche Lösungen, z. B. 'dosis'
⬛⬛⬛⬛🟨: 64 mögliche Lösungen, z. B. 'pfeil'
⬛⬛⬛⬛🟩: 131 mögliche Lösungen, z. B. 'bilde'
⬛⬛⬛🟨⬛: 19 mögliche Lösungen, z. B. 'unfug'
⬛⬛⬛🟨🟨: 98 mögliche Lösungen, z. B. 'juden'
⬛⬛⬛🟨🟩: 37 mögliche Lösungen, z. B. 'punze'
⬛⬛⬛🟩⬛: 3 mögliche Lösungen, z. B. 'blind'
⬛⬛⬛🟩🟨: 5 mögliche Lösungen, z. B. 'fuenf'
⬛⬛⬛🟩🟩: 29 mögliche Lösungen, z. B. 'meine'
⬛⬛🟨⬛⬛: 24 mögliche Lösungen, z. B. 'druck'
⬛⬛🟨⬛🟨: 62 mögliche Lösungen, z. B. 'jeder'
⬛⬛🟨⬛🟩: 35 mögliche Lösungen, z. B. 'riege'
⬛⬛🟨🟨⬛: 1 mögliche Lösungen, z. B. 'sporn'
⬛⬛🟨🟨🟨: 22 mögliche Lösungen, z. B. 'eiern'
⬛⬛🟨🟨🟩: 5 mögliche Lösungen, z. B. 'niere'
⬛⬛🟨🟩⬛: 3 mögliche Lösungen, z. B. 'prunk'
⬛⬛🟨🟩🟩: 5 mögliche Lösungen, z. B. 'krone'
⬛⬛🟩⬛⬛: 10 mögliche Lösungen, z. B. 'chrom'
⬛⬛🟩⬛🟨: 11 mögliche Lösungen, z. B. 'derer'
⬛⬛🟩⬛🟩: 29 mögliche Lösungen, z. B. 'sorge'
⬛⬛🟩🟨⬛: 1 mögliche Lösungen, z. B. 'worin'
⬛⬛🟩🟨🟨: 11 mögliche Lösungen, z. B. 'herrn'
⬛⬛🟩🟩🟩: 6 mögliche Lösungen, z. B. 'birne'
⬛🟨⬛⬛⬛: 33 mögliche Lösungen, z. B. 'chaos'
⬛🟨⬛⬛🟨: 12 mögliche Lösungen, z. B. 'ampel'
⬛🟨⬛⬛🟩: 10 mögliche Lösungen, z. B. 'blase'
⬛🟨⬛🟨⬛: 5 mögliche Lösungen, z. B. 'knall'
⬛🟨⬛🟨🟨: 12 mögliche Lösungen, z. B. 'dekan'
⬛🟨⬛🟨🟩: 2 mögliche Lösungen, z. B. 'knabe'
⬛🟨⬛🟩⬛: 4 mögliche Lösungen, z. B. 'pfand'
⬛🟨⬛🟩🟨: 2 mögliche Lösungen, z. B. 'jeans'
⬛🟨⬛🟩🟩: 1 mögliche Lösungen, z. B. 'plane'
⬛🟨🟨⬛⬛: 20 mögliche Lösungen, z. B. 'brach'
⬛🟨🟨⬛🟨: 9 mögliche Lösungen, z. B. 'areal'
⬛🟨🟨⬛🟩: 8 mögliche Lösungen, z. B. 'frage'
⬛🟨🟨🟨⬛: 5 mögliche Lösungen, z. B. 'roman'
⬛🟨🟨🟨🟨: 4 mögliche Lösungen, z. B. 'adern'
⬛🟨🟨🟩⬛: 4 mögliche Lösungen, z. B. 'drang'
⬛🟨🟨🟩🟨: 1 mögliche Lösungen, z. B. 'arena'
⬛🟨🟨🟩🟩: 1 mögliche Lösungen, z. B. 'krane'
⬛🟨🟩⬛⬛: 7 mögliche Lösungen, z. B. 'april'
⬛🟨🟩⬛🟨: 1 mögliche Lösungen, z. B. 'herab'
⬛🟨🟩🟨⬛: 3 mögliche Lösungen, z. B. 'woran'
⬛🟨🟩🟨🟨: 1 mögliche Lösungen, z. B. 'heran'
⬛🟩⬛⬛⬛: 12 mögliche Lösungen, z. B. 'lauch'
⬛🟩⬛⬛🟨: 7 mögliche Lösungen, z. B. 'fades'
⬛🟩⬛⬛🟩: 49 mögliche Lösungen, z. B. 'balke'
⬛🟩⬛🟨⬛: 12 mögliche Lösungen, z. B. 'salon'
⬛🟩⬛🟨🟨: 40 mögliche Lösungen, z. B. 'lagen'
⬛🟩⬛🟨🟩: 14 mögliche Lösungen, z. B. 'wange'
⬛🟩⬛🟩⬛: 2 mögliche Lösungen, z. B. 'fauna'
⬛🟩⬛🟩🟩: 8 mögliche Lösungen, z. B. 'mahne'
⬛🟩🟨⬛⬛: 6 mögliche Lösungen, z. B. 'radio'
⬛🟩🟨⬛🟨: 18 mögliche Lösungen, z. B. 'hafer'
⬛🟩🟨⬛🟩: 14 mögliche Lösungen, z. B. 'fahre'
⬛🟩🟨🟨🟨: 5 mögliche Lösungen, z. B. 'rasen'
⬛🟩🟨🟨🟩: 1 mögliche Lösungen, z. B. 'rande'
⬛🟩🟩⬛⬛: 3 mögliche Lösungen, z. B. 'parks'
⬛🟩🟩⬛🟨: 2 mögliche Lösungen, z. B. 'bares'
⬛🟩🟩⬛🟩: 11 mögliche Lösungen, z. B. 'karge'
⬛🟩🟩🟨⬛: 3 mögliche Lösungen, z. B. 'daran'
⬛🟩🟩🟨🟨: 3 mögliche Lösungen, z. B. 'waren'
⬛🟩🟩🟨🟩: 1 mögliche Lösungen, z. B. 'narbe'
⬛🟩🟩🟩🟩: 2 mögliche Lösungen, z. B. 'garne'
🟨⬛⬛⬛⬛: 71 mögliche Lösungen, z. B. 'motto'
🟨⬛⬛⬛🟨: 64 mögliche Lösungen, z. B. 'weist'
🟨⬛⬛⬛🟩: 65 mögliche Lösungen, z. B. 'bebte'
🟨⬛⬛🟨⬛: 21 mögliche Lösungen, z. B. 'gunst'
🟨⬛⬛🟨🟨: 18 mögliche Lösungen, z. B. 'stein'
🟨⬛⬛🟨🟩: 4 mögliche Lösungen, z. B. 'nette'
🟨⬛⬛🟩⬛: 3 mögliche Lösungen, z. B. 'sinnt'
🟨⬛⬛🟩🟨: 10 mögliche Lösungen, z. B. 'kennt'
🟨⬛🟨⬛⬛: 22 mögliche Lösungen, z. B. 'rotor'
